Countries,gdp_usd,human_capital_index,total_deaths,total_recoveries,total_tested,total_active_cases,mean_smoking_prevalence,mean_diabetes_prevalence,mean_hospital_beds_per_1000,mean_nurses_per_1000,mean_physicians_per_1000,mean_health_expenditure_usd,population,population_density,human_development_index,mobility_residential,mobility_workplaces,mobility_transit_stations,mobility_grocery_and_pharmacy,mobility_parks,total_vaccinated
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.25,0.0,0.21,0.4,0.39,0.0,0.01,0.9,0.17,0.54,0.43,0.12,0.23,0.0
United Arab Emirates,0.02,0.75,0.0,0.0,0.18,0.01,0.61,0.53,0.0,0.29,0.3,0.13,0.01,0.0,0.9,0.57,0.43,0.26,0.25,0.11,0.01
Afghanistan,0.0,0.44,0.01,0.0,0.0,0.0,0.0,0.3,0.04,0.01,0.03,0.01,0.03,0.0,0.52,0.3,0.53,0.32,0.73,0.45,0.01
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.23,0.35,0.07,0.0,0.01,0.82,0.26,0.16,0.12,0.18,0.53,0.0
Albania,0.0,0.7,0.0,0.0,0.0,0.0,0.61,0.3,0.0,0.19,0.14,0.0,0.0,0.0,0.8,0.17,0.54,0.43,0.12,0.23,0.0
Armenia,0.0,0.65,0.01,0.0,0.0,0.0,0.51,0.2,0.37,0.31,0.52,0.04,0.0,0.0,0.78,0.17,0.54,0.43,0.12,0.23,0.0
Angola,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.02,0.03,0.01,0.02,0.0,0.61,0.35,0.66,0.6,0.37,0.57,0.01
Argentina,0.02,0.69,0.13,0.0,0.03,0.11,0.46,0.19,0.0,0.13,0.47,0.13,0.03,0.0,0.86,0.52,0.5,0.24,0.17,0.0,0.02
Austria,0.02,0.9,0.02,0.02,0.22,0.05,0.63,0.22,0.0,0.36,0.61,0.48,0.01,0.0,0.95,0.4,0.14,0.22,0.11,0.43,0.01
Australia,0.07,0.91,0.01,0.0,0.09,0.11,0.31,0.18,0.0,0.64,0.44,0.52,0.02,0.0,0.98,0.48,0.27,0.03,0.15,0.15,0.02
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.24,0.31,0.06,0.15,0.41,0.0
Azerbaijan,0.0,0.68,0.01,0.0,0.0,0.01,0.44,0.2,0.0,0.0,0.0,0.03,0.01,0.0,0.78,0.17,0.54,0.43,0.12,0.23,0.0
Bosnia and Herzegovina,0.0,0.7,0.02,0.0,0.0,0.0,0.83,0.3,0.0,0.29,0.26,0.04,0.0,0.0,0.77,0.0,0.39,0.31,0.32,0.38,0.0
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.44,0.0,0.16,0.29,0.12,0.0,0.03,0.84,0.4,0.16,0.1,0.08,0.34,0.0
Bangladesh,0.01,0.54,0.03,0.0,0.02,0.02,0.49,0.3,0.07,0.02,0.07,0.0,0.11,0.05,0.66,0.55,0.81,0.68,0.43,0.42,0.13
Belgium,0.03,0.86,0.03,0.0,0.04,0.05,0.6,0.15,0.0,1.0,0.36,0.44,0.01,0.01,0.97,0.52,0.14,0.2,0.17,0.48,0.01
Burkina Faso,0.0,0.42,0.0,0.0,0.0,0.0,0.27,0.24,0.0,0.05,0.01,0.0,0.01,0.0,0.44,0.41,0.95,0.8,0.83,0.82,0.0
Bulgaria,0.0,0.76,0.04,0.0,0.0,0.01,0.79,0.2,0.0,0.25,0.48,0.06,0.0,0.0,0.82,0.22,0.19,0.48,0.2,0.42,0.0
Bahrain,0.0,0.76,0.0,0.0,0.01,0.01,0.56,0.51,0.0,0.13,0.11,0.11,0.0,0.09,0.86,0.54,0.33,0.39,0.12,0.09,0.0
Burundi,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.04,0.01,0.0,0.01,0.02,0.44,0.17,0.54,0.43,0.12,0.23,0.0
Benin,0.0,0.46,0.0,0.0,0.0,0.0,0.14,0.03,0.0,0.02,0.01,0.0,0.01,0.0,0.54,0.43,0.73,0.47,0.71,0.73,0.0
Brunei,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.44,0.23,0.3,0.19,0.07,0.0,0.0,0.89,0.17,0.54,0.43,0.12,0.23,0.0
Bolivia,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.22,0.0,0.08,0.19,0.02,0.01,0.0,0.72,0.68,0.42,0.26,0.1,0.15,0.01
Brazil,0.09,0.63,0.69,0.14,0.06,0.38,0.3,0.34,0.0,0.52,0.26,0.09,0.15,0.0,0.79,0.47,0.59,0.31,0.32,0.14,0.18
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.29,0.0,0.23,0.24,0.17,0.0,0.0,0.84,0.26,0.11,0.18,0.07,0.26,0.0
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.1,0.05,0.01,0.0,0.0,0.64,0.17,0.54,0.43,0.12,0.23,0.0
Botswana,0.0,0.48,0.0,0.0,0.0,0.0,0.43,0.19,0.0,0.28,0.06,0.05,0.0,0.0,0.75,0.47,0.61,0.79,0.54,0.55,0.0
Belarus,0.0,0.0,0.01,0.0,0.0,0.01,0.57,0.16,0.0,0.57,0.62,0.03,0.01,0.0,0.83,0.11,0.23,0.37,0.17,0.33,0.01
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.12,0.13,0.03,0.0,0.0,0.75,0.38,0.18,0.24,0.26,0.44,0.0
Canada,0.08,0.9,0.05,0.0,0.07,0.0,0.3,0.25,0.0,0.51,0.31,0.46,0.03,0.0,0.97,0.56,0.06,0.0,0.13,0.6,0.06
Democratic Republic of the Congo,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.06,0.01,0.0,0.06,0.0,0.48,0.17,0.54,0.43,0.12,0.23,0.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.01,0.01,0.0,0.0,0.0,0.38,0.17,0.54,0.43,0.12,0.23,0.0
Republic of the Congo,0.0,0.48,0.0,0.0,0.0,0.0,0.57,0.2,0.0,0.03,0.0,0.0,0.0,0.0,0.63,0.17,0.54,0.43,0.12,0.23,0.0
Switzerland,0.03,0.87,0.01,0.0,0.02,0.04,0.55,0.19,0.0,0.9,0.51,0.97,0.01,0.01,0.97,0.17,0.54,0.43,0.12,0.23,0.01
Ivory Coast,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.03,0.0,0.01,0.02,0.0,0.51,0.5,0.69,0.77,0.65,0.37,0.01
Chile,0.01,0.76,0.06,0.0,0.04,0.05,0.8,0.28,0.0,0.68,0.31,0.13,0.01,0.0,0.87,0.78,0.41,0.24,0.1,0.04,0.02
Cameroon,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.01,0.02,0.0,0.58,0.41,0.54,0.84,0.39,0.3,0.0
China,0.67,0.76,0.03,0.0,0.0,0.08,0.54,0.3,0.0,0.14,0.24,0.04,1.0,0.01,0.79,0.17,0.54,0.43,0.12,0.23,0.52
Colombia,0.02,0.67,0.17,0.02,0.04,0.07,0.19,0.24,0.0,0.07,0.26,0.04,0.04,0.0,0.78,0.59,0.46,0.37,0.22,0.17,0.04
Costa Rica,0.0,0.7,0.01,0.0,0.0,0.01,0.25,0.3,0.1,0.18,0.34,0.08,0.0,0.0,0.83,0.54,0.33,0.14,0.11,0.06,0.0
Cuba,0.0,0.0,0.01,0.0,0.01,0.01,0.75,0.31,0.0,0.39,1.0,0.1,0.01,0.0,0.8,0.17,0.54,0.43,0.12,0.23,0.01
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.08,0.0,0.07,0.09,0.02,0.0,0.01,0.68,0.57,0.06,0.12,0.11,0.26,0.0
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.01,0.93,0.17,0.54,0.43,0.12,0.23,0.0
Cyprus,0.0,0.85,0.0,0.0,0.03,0.01,0.77,0.3,0.0,0.27,0.23,0.17,0.0,0.0,0.89,0.17,0.54,0.43,0.12,0.23,0.0
Czech Republic,0.01,0.88,0.04,0.02,0.02,0.04,0.73,0.23,0.57,0.43,0.49,0.14,0.01,0.01,0.93,0.37,0.27,0.33,0.22,0.43,0.01
Germany,0.18,0.9,0.15,0.0,0.0,0.36,0.65,0.34,0.0,0.68,0.5,0.49,0.06,0.01,0.98,0.43,0.24,0.23,0.18,0.59,0.07
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.17,0.0,0.0,0.0,0.01,0.0,0.0,0.5,0.17,0.54,0.43,0.12,0.23,0.0
Denmark,0.02,0.88,0.01,0.0,0.07,0.04,0.41,0.27,0.22,0.53,0.48,0.57,0.0,0.01,0.97,0.37,0.17,0.22,0.12,0.88,0.01
Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.33,0.13,0.04,0.0,0.0,0.75,0.17,0.54,0.43,0.12,0.23,0.0
Dominican Republic,0.0,0.56,0.0,0.0,0.0,0.01,0.29,0.28,0.0,0.07,0.19,0.04,0.01,0.01,0.77,0.5,0.17,0.31,0.18,0.13,0.01
Algeria,0.01,0.59,0.01,0.0,0.0,0.0,0.33,0.22,0.17,0.08,0.2,0.03,0.03,0.0,0.79,0.17,0.54,0.43,0.12,0.23,0.01
Ecuador,0.01,0.68,0.04,0.0,0.0,0.01,0.15,0.18,0.0,0.13,0.24,0.05,0.01,0.0,0.78,0.69,0.3,0.38,0.27,0.16,0.01
Estonia,0.0,0.85,0.0,0.0,0.0,0.01,0.67,0.14,0.43,0.57,0.53,0.13,0.0,0.0,0.93,0.33,0.2,0.29,0.19,0.55,0.0
Egypt,0.01,0.55,0.03,0.0,0.0,0.01,0.54,0.56,0.0,0.1,0.05,0.01,0.07,0.0,0.73,0.28,0.53,0.54,0.61,0.37,0.04
Spain,0.07,0.84,0.11,0.0,0.0,0.15,0.62,0.23,0.0,0.29,0.46,0.24,0.03,0.0,0.92,0.4,0.15,0.21,0.14,0.31,0.04
Ethiopia,0.0,0.44,0.01,0.0,0.0,0.01,0.09,0.14,0.03,0.04,0.01,0.0,0.08,0.0,0.48,0.17,0.54,0.43,0.12,0.23,0.02
Finland,0.01,0.92,0.01,0.0,0.01,0.02,0.43,0.18,0.38,0.76,0.45,0.41,0.0,0.0,0.92,0.39,0.12,0.12,0.14,0.8,0.0
Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.0,0.17,0.1,0.02,0.0,0.0,0.77,0.67,0.47,0.19,0.25,0.27,0.0
Micronesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.1,0.0,0.04,0.0,0.01,0.0,0.17,0.54,0.43,0.12,0.23,0.0
Faroe Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.54,0.43,0.12,0.23,0.0
France,0.13,0.87,0.13,1.0,0.31,0.38,0.7,0.16,0.0,0.59,0.39,0.43,0.05,0.0,0.94,0.45,0.14,0.27,0.18,0.5,0.06
Gabon,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.15,0.08,0.02,0.0,0.0,0.73,0.4,0.47,0.54,0.18,0.49,0.0
United Kingdom,0.13,0.88,0.19,0.0,0.54,0.26,0.47,0.13,0.0,0.42,0.33,0.38,0.05,0.01,0.96,0.58,0.0,0.06,0.09,0.42,0.05
Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.32,0.17,0.05,0.0,0.01,0.81,0.17,0.54,0.43,0.12,0.23,0.0
Georgia,0.0,0.69,0.02,0.0,0.01,0.02,0.61,0.19,0.0,0.24,0.85,0.03,0.0,0.0,0.0,0.17,0.54,0.43,0.12,0.23,0.0
Ghana,0.0,0.5,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.22,0.02,0.01,0.02,0.01,0.62,0.7,0.54,0.6,0.45,0.26,0.01
Greenland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.54,0.43,0.12,0.23,0.0
Gambia,0.0,0.45,0.0,0.0,0.0,0.0,0.33,0.06,0.0,0.08,0.01,0.0,0.0,0.01,0.48,0.17,0.54,0.43,0.12,0.23,0.0
Guinea,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.01,0.01,0.0,0.01,0.0,0.48,0.17,0.54,0.43,0.12,0.23,0.0
Equatorial Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.03,0.05,0.03,0.0,0.0,0.62,0.17,0.54,0.43,0.12,0.23,0.0
Greece,0.01,0.77,0.03,0.0,0.05,0.05,0.92,0.15,0.37,0.19,0.65,0.15,0.01,0.0,0.9,0.3,0.21,0.33,0.34,0.72,0.01
Guatemala,0.0,0.52,0.02,0.0,0.0,0.01,0.0,0.33,0.0,0.0,0.04,0.03,0.01,0.01,0.66,0.62,0.32,0.2,0.17,0.17,0.01
Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.17,0.54,0.43,0.12,0.23,0.0
Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.04,0.02,0.01,0.0,0.0,0.48,0.17,0.44,0.43,0.03,0.14,0.0
Guyana,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.05,0.1,0.02,0.0,0.0,0.68,0.17,0.54,0.43,0.12,0.23,0.0
Hong Kong,0.02,0.93,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.01,0.27,0.97,0.17,0.54,0.43,0.12,0.23,0.01
Honduras,0.0,0.55,0.01,0.0,0.0,0.0,0.04,0.24,0.0,0.04,0.04,0.02,0.01,0.0,0.63,0.43,0.27,0.22,0.17,0.16,0.01
Croatia,0.0,0.82,0.02,0.0,0.0,0.01,0.79,0.18,0.49,0.42,0.36,0.09,0.0,0.0,0.87,0.26,0.28,0.39,0.27,1.0,0.0
Haiti,0.0,0.5,0.0,0.0,0.0,0.0,0.27,0.22,0.0,0.03,0.03,0.01,0.01,0.02,0.52,0.5,0.29,0.44,0.15,0.26,0.0
Hungary,0.01,0.8,0.05,0.0,0.01,0.02,0.65,0.23,0.0,0.36,0.4,0.1,0.01,0.0,0.87,0.36,0.25,0.31,0.2,0.53,0.01
Indonesia,0.05,0.61,0.16,0.03,0.06,0.07,0.84,0.21,0.1,0.12,0.05,0.01,0.19,0.01,0.73,0.6,0.29,0.18,0.22,0.24,0.18
Ireland,0.02,0.91,0.01,0.0,0.01,0.02,0.52,0.1,0.0,0.83,0.39,0.49,0.0,0.0,0.0,0.17,0.54,0.43,0.12,0.23,0.0
Israel,0.02,0.86,0.01,0.0,0.06,0.05,0.54,0.32,0.0,0.29,0.55,0.31,0.01,0.02,0.94,0.48,0.14,0.2,0.15,0.32,0.01
Isle of Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.17,0.54,0.43,0.12,0.23,0.0
India,0.13,0.5,0.53,0.0,0.92,0.48,0.24,0.34,0.0,0.09,0.1,0.01,0.96,0.02,0.67,0.7,0.33,0.35,0.26,0.21,1.0
Iraq,0.01,0.45,0.03,0.0,0.01,0.03,0.0,0.29,0.0,0.11,0.08,0.02,0.03,0.0,0.72,0.29,0.68,0.75,0.82,0.39,0.01
Iran,0.02,0.67,0.15,0.0,0.02,0.08,0.23,0.31,0.0,0.14,0.19,0.05,0.06,0.0,0.83,0.17,0.54,0.43,0.12,0.23,0.06
Iceland,0.0,0.84,0.0,0.0,0.0,0.0,0.31,0.19,0.0,0.83,0.48,0.59,0.0,0.0,0.94,0.17,0.54,0.43,0.12,0.23,0.0
Italy,0.1,0.87,0.18,0.09,0.27,0.24,0.5,0.16,0.0,0.29,0.47,0.28,0.04,0.01,0.91,0.44,0.15,0.18,0.13,0.42,0.05
Jamaica,0.0,0.62,0.0,0.0,0.0,0.0,0.36,0.37,0.0,0.04,0.16,0.03,0.0,0.01,0.76,0.51,0.18,0.31,0.12,0.17,0.0
Jordan,0.0,0.64,0.01,0.0,0.01,0.02,0.0,0.42,0.12,0.14,0.28,0.03,0.01,0.0,0.77,0.42,0.32,0.15,0.32,0.24,0.0
Japan,0.24,0.95,0.04,0.0,0.06,0.22,0.47,0.18,0.0,0.62,0.29,0.41,0.09,0.01,0.96,0.46,0.3,0.2,0.14,0.19,0.11
Kenya,0.0,0.59,0.01,0.0,0.0,0.0,0.23,0.1,0.0,0.06,0.02,0.01,0.04,0.0,0.57,0.63,0.68,0.74,0.34,0.33,0.01
Kyrgyzstan,0.0,0.66,0.0,0.0,0.0,0.0,0.56,0.2,0.0,0.0,0.0,0.01,0.0,0.0,0.7,0.19,0.08,0.29,0.06,0.19,0.0
Cambodia,0.0,0.56,0.0,0.0,0.0,0.0,0.37,0.21,0.07,0.04,0.0,0.01,0.01,0.0,0.61,0.68,0.32,0.02,0.03,0.19,0.02
Kiribati,0.0,0.54,0.0,0.0,0.0,0.0,1.0,0.74,0.17,0.2,0.0,0.02,0.0,0.01,0.64,0.17,0.54,0.43,0.12,0.23,0.0
Comoros,0.0,0.46,0.0,0.0,0.0,0.0,0.3,0.4,0.0,0.03,0.03,0.01,0.0,0.02,0.53,0.17,0.54,0.43,0.12,0.23,0.0
